type,name,ModelAccuracy,Anchor,Lime,Shap
multivariate,ArticularyWordRecognition,96.52777910232544,Yes,Yes,Yes
multivariate,AtrialFibrillation,37.5,Yes,Yes,Yes
multivariate,BasicMotions,100.0,Yes,Yes,Yes
multivariate,Cricket,93.33333373069765,Yes,Yes,Yes
multivariate,Epilepsy,91.304349899292,Yes,Yes,Yes
multivariate,ERing,98.66666793823242,Yes,Yes,Yes
multivariate,EthanolConcentration,22.1374049782753,Yes,Yes,Yes
multivariate,FaceDetection,50.254887342453,Yes,No,Yes
multivariate,FingerMovements,57.692307233810425,Yes,Yes,Yes
multivariate,HandMovementDirection,23.728813230991364,Yes,Yes,Yes
multivariate,Handwriting,58.39999914169312,Yes,Yes,Yes
multivariate,Heartbeat,72.81553149223328,Yes,Yes,Yes
multivariate,Libras,63.333332538604736,Yes,Yes,Yes
multivariate,LSST,22.159090638160706,Yes,Yes,Yes
multivariate,NATOPS,86.66666746139526,Yes,Yes,Yes
multivariate,PenDigits,99.23580884933472,Yes,Yes,Yes
multivariate,RacketSports,82.8947365283966,Yes,Yes,Yes
multivariate,SelfRegulationSCP1,89.3617033958435,Yes,Yes,Yes
multivariate,SelfRegulationSCP2,45.26315927505493,Yes,Yes,Yes
multivariate,UWaveGestureLibrary,94.54545378684998,Yes,Yes,Yes
univariate,Adiac,,No,Yes,Yes
univariate,Beef,,No,Yes,Yes
univariate,BeetleFly,,Yes,Yes,Yes
univariate,BirdChicken,,No,Yes,Yes
univariate,BME,,No,Yes,Yes
univariate,CBF,,No,Yes,Yes
univariate,Chinatown,,Yes,Yes,Yes
univariate,Coffee,,No,Yes,Yes
univariate,Computers,,No,Yes,Yes
univariate,CricketX,,Yes,Yes,Yes
univariate,CricketY,,Yes,Yes,Yes
univariate,CricketZ,,Yes,Yes,Yes
univariate,Crop,,No,Yes,Yes
univariate,DiatomSizeReduction,100.0,Yes,Yes,Yes
univariate,DistalPhalanxOutlineAgeGroup,77.77777910232544,Yes,Yes,Yes
univariate,DistalPhalanxOutlineCorrect,78.08219194412231,Yes,Yes,Yes
univariate,DistalPhalanxTW,66.66666865348816,No,Yes,Yes
univariate,DodgerLoopDay,55.000001192092896,Yes,Yes,Yes
univariate,DodgerLoopGame,87.5,Yes,Yes,Yes
univariate,DodgerLoopWeekend,97.5000023841858,No,Yes,Yes
univariate,Earthquakes,68.1034505367279,No,Yes,Yes
univariate,ECG200,86.00000143051147,Yes,Yes,Yes
univariate,ECG5000,91.51999950408936,Yes,Yes,Yes
univariate,ECGFiveDays,100.0,Yes,Yes,Yes
univariate,ElectricDevices,85.55288314819336,No,Yes,Yes
univariate,FaceFour,96.42857313156128,Yes,Yes,Yes
univariate,FiftyWords,62.99559473991394,No,Yes,Yes
univariate,FordA,86.83996796607971,Yes,Yes,Yes
univariate,FordB,85.61151027679443,No,Yes,Yes
univariate,FreezerRegularTrain,99.86666440963744,No,Yes,Yes
univariate,FreezerSmallTrain,99.44444298744202,No,Yes,Yes
univariate,Fungi,0.0,Yes,Yes,Yes
univariate,GunPoint,86.00000143051147,No,Yes,Yes
univariate,GunPointAgeSpan,88.49557638168335,Yes,Yes,Yes
univariate,GunPointMaleVersusFemale,100.0,No,Yes,Yes
univariate,GunPointOldVersusYoung,100.0,No,Yes,Yes
univariate,Herring,56.25,No,Yes,Yes
univariate,InsectWingbeatSound,66.90909266471863,No,Yes,Yes
univariate,ItalyPowerDemand,96.35036587715148,No,Yes,Yes
univariate,LargeKitchenAppliances,64.89361524581909,No,Yes,Yes
univariate,Lightning2,58.06451439857483,No,Yes,Yes
univariate,Lightning7,66.66666865348816,No,Yes,Yes
univariate,Meat,63.333332538604736,Yes,Yes,Yes
univariate,MedicalImages,68.53147149085999,Yes,Yes,Yes
univariate,MiddlePhalanxOutlineAgeGroup,78.41726541519165,Yes,Yes,Yes
univariate,MiddlePhalanxOutlineCorrect,69.5067286491394,No,Yes,Yes
univariate,MiddlePhalanxTW,64.74820375442505,No,Yes,Yes
univariate,MoteStrain,95.5974817276001,No,Yes,Yes
univariate,OliveOil,13.333334028720856,Yes,Yes,Yes
univariate,OSULeaf,56.75675868988037,No,Yes,Yes
univariate,PhalangesOutlinesCorrect,67.06767082214355,Yes,Yes,Yes
univariate,Plane,96.22641801834106,Yes,Yes,Yes
univariate,PowerCons,100.0,Yes,Yes,Yes
univariate,ProximalPhalanxOutlineAgeGroup,74.34210777282715,No,Yes,Yes
univariate,ProximalPhalanxOutlineCorrect,73.09417128562927,No,Yes,Yes
univariate,ProximalPhalanxTW,48.68420958518982,Yes,Yes,Yes
univariate,RefrigerationDevices,43.6170220375061,No,Yes,Yes
univariate,ScreenType,40.95744788646698,No,Yes,Yes
univariate,ShapeletSim,50.0,No,Yes,Yes
univariate,ShapesAll,69.9999988079071,No,Yes,Yes
univariate,SmallKitchenAppliances,60.10638475418091,No,Yes,Yes
univariate,SmoothSubspace,95.9999978542328,Yes,Yes,Yes
univariate,SonyAIBORobotSurface1,99.35897588729858,No,Yes,Yes
univariate,SonyAIBORobotSurface2,97.95918464660645,No,Yes,Yes
univariate,Strawberry,77.64227390289307,Yes,Yes,Yes
univariate,SwedishLeaf,82.26950168609619,Yes,Yes,Yes
univariate,Symbols,95.686274766922,No,Yes,Yes
univariate,SyntheticControl,89.33333158493042,Yes,Yes,Yes
univariate,ToeSegmentation2,80.95238208770752,No,Yes,Yes
univariate,Trace,68.00000071525574,Yes,Yes,Yes
univariate,TwoLeadECG,98.96907210350037,No,Yes,Yes
univariate,TwoPatterns,99.91999864578248,No,Yes,Yes
univariate,UMD,93.33333373069765,Yes,Yes,Yes
univariate,UWaveGestureLibraryAll,95.53571343421936,No,Yes,Yes
univariate,UWaveGestureLibraryX,81.60714507102966,No,Yes,Yes
univariate,UWaveGestureLibraryY,72.58928418159485,No,Yes,Yes
univariate,UWaveGestureLibraryZ,75.98214149475098,No,Yes,Yes
univariate,Wafer,99.83249306678772,Yes,Yes,Yes
univariate,Wine,60.71428656578064,No,Yes,Yes
univariate,WordSynonyms,67.84141063690186,No,Yes,Yes
univariate,Worms,50.76923370361328,No,Yes,Yes
univariate,WormsTwoClass,50.76923370361328,Yes,Yes,Yes
univariate,Yoga,91.39394164085388,No,Yes,Yes
